"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-199","199","NA-199 SUKKUR-II","Mr.Abdul Mujeeb Pirzada","Pakistan Peoples Party Parliamentarians","Mr.Taj Mohammad Shaikh","National Alliance","4.9","38.83760839","Pakistan Peoples Party Parliamentarians","National Alliance"
2002,"NA-200","200","NA-200 Ghotki-I","Mr.Khalid Ahmed Khan Lund","Pakistan Peoples Party Parliamentarians","Mian Farooq Ahmed","Independent","29.4","39.99786973","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-204","204","NA-204 Larkana-I","Mr.Muhammad Anwar Bhutto","Pakistan Peoples Party Parliamentarians","Syed Peer Shah","Pakistan Muslim League (Q)","49.4","26.28553561","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-205","205","NA-205 Larkana-II","Mr.Hizbullah Bughio","Pakistan Peoples Party Parliamentarians","Mr.Altaf Hussain Unar","Pakistan Muslim League (Q)","0.7","34.00187201","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-206","206","NA-206 Larkana-III","Mr.Khalid Iqbal Memon","Pakistan Peoples Party Parliamentarians","Syed Asghar Hussain Rashidi","National Alliance","7.1","28.14177841","Pakistan Peoples Party Parliamentarians","National Alliance"
2002,"NA-207","207","NA-207 Larkana-IV","Mr.Shahid Hussain Bhutto","Pakistan Peoples Party Parliamentarians","Doctor Khalid Mahmood Soomro","Muttahidda Majlis-e-Amal Pakistan","29.6","37.99760192","Pakistan Peoples Party Parliamentarians","Muttahidda Majlis-e-Amal Pakistan"
2002,"NA-208","208","NA-208 Jacobabad-I","Mr.Meer Aijaz Hussain Jakhrani","Pakistan Peoples Party Parliamentarians","Mr.Illahi Bakhsh Soomro","Pakistan Muslim League (Q)","19.7","29.15971239","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-209","209","NA-209 Jacobabad-II","Mir Hazar Khan Bijarani","Pakistan Peoples Party Parliamentarians","Mr.Abdul Raheem Khan Khoso","Pakistan Muslim League (Q)","14.2","34.05529299","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-212","212","NA-212 Nausheroferoze-II","Mr.Allahandho Shah @ Zafar Ali Shah","Pakistan Peoples Party Parliamentarians","Mr.Khalid Akhtar Jatoi","National Alliance","11.5","43.96712589","Pakistan Peoples Party Parliamentarians","National Alliance"
2002,"NA-213","213","NA-213 Nawabshah-I","Azra Fazal","Pakistan Peoples Party Parliamentarians","Syed Zahid Hussain Shah","Pakistan Muslim League (Q)","35.0","40.05970258","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-214","214","NA-214 Nawabshah-II","Syed Ghulam Mustafa Shah","Pakistan Peoples Party Parliamentarians","Mr.Mumtaz Ahmed Rahu","National Alliance","12.4","37.13286027","Pakistan Peoples Party Parliamentarians","National Alliance"
